pdfname,page_Number,Paragraph_Number,Paragraph_Number_Ind,Paragraph_Content
Lorem ipsum dolor sit amet,6,38,2,"In auctor viverra sapien, sed tempor tellus auctor vel, Donec luctus at enim at iaculls. Donec‘tempor pellentesque tellus sit amet vehicula. Donec nec ex eros. Aenean ut interdum dolorDuis ultricies arcu et turpis egestas, vitae posuere neque rhoncus. Vivamus ultricies luctusmolestie, Praesent moll, felis eget scelerisque dapibus, ligula nis! consectetur mauris, uthendrerit nulla lita elt."
Lorem ipsum dolor sit amet,6,39,3,"Nullam ultricies tincidunttristique. Cras id dui quam. Donec eget mattis augue. Nunc faucibussapien nibh, eu pulvinar nisi blandit sed. in hac habitasse platea dictumst. Integer rhoncus,clit in moll tristique, risus neque tempus turpis, suscipit egestas risus tellus tristique arcu.‘Sed at magna bibendum, dictum erat a, tempus lacus. Aenean magna augue, rutrum idfaucibus et, pulvinar non nis"
Lorem ipsum dolor sit amet,6,40,4,"Maecenas bibendum odio sem, eget ultricies ex porttitor in. Sed nisi ex, volutpat vitaeLllamcorper ac, suscipit sed ante. Nunc imperdiet urna a tempus commodo, Proin non rutrumligula, a tincidunt turpis. Duis eleifend sit amet odio sed convalis. Nulla dapibus eleifend nulla,vel auctor diam rhoncus sit amet. Nullam in volutpat mauris. Maecenas non euismod ipsum.Donec ultrices felis ac velit dictum, ut feugiat nunc tristique. Aenean at ligula bibendum,interdum nibh quis, tristique risus. Sed sit amet nisi pellentesque, fringila dolor faucibus,viverra odio. Nam at augue id mi vulputate tempus. Pellentesque eget placerat sapien, sedconsectetur nunc. Fusce dapibus velit odio, elementum pellentesque urna consectetur in.Nullam maximus cursus facilisis. Nullam dapibus suscipit dul, aliquet hendrerit dolor facilisisvel"
Lorem ipsum dolor sit amet,6,41,5,"Phasellus sit amet faucibus enim. Pellentesque placerat maximus fell, vitae ultricies senUllamcorper a. Donec suscipit eras nulla, nec blandit urna suscipit eget. Pellentesque idposuere ex, ac consectetur diam. Curabitur rutrum sit amet velit fringila varius. Mauris‘elementum commado eros, a vulputate elt volutpat porta. Etiam facilisis mauris enim, sit‘amet imperdiet orc! fermentum sed. Pellentesque blandit sit amet velit in aliquam. Classaptent tacit sociosqu ad ltora torquent per conubia nostra, per inceptos himenaeos."
Lorem ipsum dolor sit amet,6,42,6,"‘Sed quis euismod dolor. Quisque molestie nibh turpis, at sodales velit faucibus et. Narn nonmetus sapien, Morbi velit metus, lobortis aliquet elementum in, interdum non velit. Maecenas<dul lacus, porta vel pretium at, malesuada ac justo. Nullam dictum non libero vitae gravida.Inid neque tincidunt, pulvinar sem ac, vulputate ligula. Phasellus feugiat elit ut neque tempor,‘eget luctus neque interdum. Vivamus vestibulum mauris eget turpis scelerisque, sed placerat‘odio ornare, Etiam euismod est et volutpat ornare. Vivamus vel lacus sit amet tortor sodales{aclsis. Pellentesque pretium bibendum lectus ac dapibus."
Lorem ipsum dolor sit amet,6,43,7,"Incondimentum sagittis est. Donec vel tincidunt dolor. Sed faucibus risus ut volutpat facilis,Morbi in dignissim justo. Duis est urna, euismod pretium nulla sit amet, ullamcorper rutrum‘lt. Class aptent tacit sociosqu ad litera torquent per conubia nostra, per inceptoshimenaeos. Nuila erat tellus, hendrerit vel dui at, venenatis mattis dul. Sed aliquet sapienmauris, quis sollciudin velit condimentum vel, Phasellus maximus massa sed erat gravidavenenatis. Aenean finibus lorem nec odio porttitor molestie volutpat ut est. Praesent eget‘magna non nibh molestie auctor a nec ligula. Cras consequat dul ut lacus ornare consequatvel id magna"
Lorem ipsum dolor sit amet,7,44,1,"Nam id magna nisl. Nunc pulvinar dul ac mi faucibus elementum. Etiam felis dolor, gravida actincidunt et, placerat at augue. Suspendisse convallis tristique nis! nec tincidunt. Ut eleifend‘euismod turpis, sed maximus libero feugiat eget. Duis ut pulvinar erat. Sed urna mi, luctuspPharetra turpis quis, tristique hendrerit sem. Maecenas interdum dul sit amet erat auctor,‘sed tempor erat volutpat. Praesent ipsurn magna, pharetra nec ullamcorper vitae, dictum etrune. Vivamus leo ipsum, posuere sed varius ac, condimentum nec quam. Nam convallis‘condimentum orci sed feugiat. Aliquam lacus tempor ex non henderit."
Lorem ipsum dolor sit amet,7,45,2,"Maecenas ut elit id dolor solictudin aliquam. Aenean nulla neque, aliquet eu maximus sit‘amet, tincidunt eget sapien. Sed eget commodo turpis, in dictum enim. Aenean consequat,rune sit amet vehicula tempor, enim purus varius augue, vel efficitur purus dolor sed risus.‘Quisque quis tortor lorem. Duis eu ullamcorper justo. Sed vel laoreet velit, Nunc pretium odionisl, in malesuada est viverra non. Sed fringilla aliquam metus, sit amet fermentum antePhasellus viverra mauris ac purus posuere luctus. Phasellus congue viverra est id pharetra,"
Lorem ipsum dolor sit amet,7,46,3,"Fusce cursus ante in dolor volutpat congue. Maecenas euismod placerat lectus, et facilisis nisl{dapibus non. Cras at commodo libero. Phasellus eu finibus leo. Mauris et congue tortor, eumattis ante. Donec nec tempor dui, quis rutrum ligula. Aliquam sodales ullamcorper ante, euconvallis sem porta et."
Lorem ipsum dolor sit amet,7,47,4,"Inin mi dui. Morbi eget nulla elementum, fermentum enim vel, commodo neque. Nunc id mi‘a nulla pharetra consectetur ac non enim, Praesent a ornare nibh. Quisque semper mi utplacerat dignissim. Donec sit amet posuere dolor. Nullam ukrices leo ac sto posuere cursus.Mauris quis commodo libero, vitae tristique nisl Cras sit amet honcus purus, nec ultrices‘sem. Mauris maximus ex elt, sit amet volutpat orci placerat at. Ut aliquam mauris at risusfnibus tempus. Suspendisse fermentum sagittis tincidunt. Interdum et malesuada fames ac‘ante ipsum primis in faucibus,"
Lorem ipsum dolor sit amet,7,48,5,"Fusce varius, lacus vel accumsan iaculis, dolor odio tempus mauris, eget cursus ligula elit idpurus. Ut rhoncus molestie magna ac tincidunt. Donec erat dolor, matts vel ullamcorper vel,posuere in tortor. Cras eu nisl at ex ultrices facilisis vitae nec quam. Aliquarn volutpat tortor‘leifend malesuada lacinia, Phasellus aliquam congue feugiat. Curabitur et faucibus veli.‘Suspendisse corwallis nisi in justo molestie cursus"
Lorem ipsum dolor sit amet,7,49,6,"Maecenas vel malesuada mauris. Nam vel efficitur nune. Quisque pellentesque nibh ac odiopretium consectetur. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec attincidunt lorem, vitae dapibus nisl. Suspendisse vestibulum eget lectus quis interdum.Phasellus ac felis vehicula, ornare enim et, consectetur est. Donec massa quam, suscipit sedHgula sea, effictursolictudin nunc. Mauri i placerat nibh. Integer ante lacus, malesuada innibh sit amet, condimentum faucibus nulla. Donec euismod ligula vitae diam malesuadalobortis. Cras eleifend lorem ut orci lacinia congue. Integer tristique dignissim urna, egetcffictur massa commodo a. Nam sit amet justo molestie, ornare purus a, rutrum est.‘Suspendisse elementum justo sit amet molestie luctus. Pellentesque tellus est, feugiat sedlacinia eu, facilisis a enim."
Lorem ipsum dolor sit amet,7,50,7,"Inbibendum ornare scelerisque. Sed id malesuada sem. Nunc congue luctus porta. Maecenasfaucibus egestas ipsum, id viverra justo porttitor non. Sed feugiat, dolor vel congue rutrum,‘erat turpis egestas elit, ac luctus neque metus eget nibh. Aenean aliquet ex massa, nonvulputate arcu ullamcorper vel. Phasellus eget augue at ex vehicula dignissim. Aliquam erat"
Lorem ipsum dolor sit amet,8,51,1,"volutpat. Donec interdum mauris dolor, et vulputate risus molestie eget. Vestibulum pretium‘cursus venenatis. Suspendisse ullamcorper mauris est, in bibendum elt viverra in"
Lorem ipsum dolor sit amet,8,52,2,"Nulla tempor, sem et venenatis congue, ex libero mattis metus, ut molestie diam est nonturpis. Praesent laoreet ex in semper euismod. Aliquam augue diam, varus a interdum eget,rhoncus in leo. Donec vitae vestibulum ligula, a imperdiet tortor. Mauris eu lorem sed sapienmollis consequat ac at mauris. integer commodo viverra turpis, eu aliquet lorem vestibulumeu. Morbi molestie non nunc non vulputate. Aenean in nulla quis urna finibus ehoncus.Phasellus condimentum auctor jpsum non porttitor. Donec ut eros tempor, condimentumligula id, dictum velit. Morbi tempus eget nisi at posuere. Curabitur varius posuere arcu sit‘amet fiibus,"
